Factory → State,Total_Shipments,Average_Lead_Time,Lead_Time_STD,Average_Efficiency
Lot's O' Nuts → Alabama,34,1295.2058823529412,253.0703315120563,21.118235294117646
Lot's O' Nuts → Alberta,16,1273.875,266.9244275071131,22.4175
Lot's O' Nuts → Arizona,111,1306.1981981981983,253.9011554207598,20.44972972972973
Lot's O' Nuts → Arkansas,31,1285.3548387096773,274.5291178712012,21.720000000000002
Lot's O' Nuts → British Columbia,18,1273.7777777777778,307.0827739638931,22.423333333333332
Lot's O' Nuts → California,1125,1316.9102222222223,265.3738414776562,19.796897777777776
Lot's O' Nuts → Colorado,103,1347.5339805825242,252.65204374108782,17.931650485436894
Lot's O' Nuts → Connecticut,47,1420.5531914893618,249.38575048294325,13.485106382978723
Lot's O' Nuts → Delaware,43,1273.3023255813953,251.91623086934126,22.453023255813953
Lot's O' Nuts → District of Columbia,8,1365.875,168.57676293012628,16.815
Lot's O' Nuts → Florida,209,1318.6076555023924,283.18378637236333,19.693684210526317
Lot's O' Nuts → Georgia,110,1329.5636363636363,243.441552515676,19.026545454545456
Lot's O' Nuts → Idaho,14,1351.357142857143,255.74915809857885,17.697857142857142
Lot's O' Nuts → Illinois,267,1319.9325842696628,268.3879387446412,19.61250936329588
Lot's O' Nuts → Indiana,90,1366.7888888888888,236.12282532445067,16.758777777777777
Lot's O' Nuts → Iowa,16,1479.0,187.5117774078915,9.92625
Lot's O' Nuts → Kansas,15,1248.8666666666666,216.09616466044093,23.94
Lot's O' Nuts → Kentucky,77,1325.4025974025974,276.2697604144913,19.27922077922078
Lot's O' Nuts → Louisiana,24,1302.9583333333333,283.0135162184288,20.6475
Lot's O' Nuts → Maine,6,1213.5,149.66462507887425,26.095
Lot's O' Nuts → Manitoba,2,1454.0,258.8010819142764,11.445
Lot's O' Nuts → Maryland,60,1370.6666666666667,221.91742751025282,16.523333333333333
Lot's O' Nuts → Massachusetts,76,1292.1184210526317,252.38272350302998,21.306052631578947
Lot's O' Nuts → Michigan,147,1303.0068027210884,247.1988411718261,20.64387755102041
Lot's O' Nuts → Minnesota,43,1350.3953488372092,282.6305125858111,17.75720930232558
Lot's O' Nuts → Mississippi,30,1297.6666666666667,286.77749795500586,20.969
Lot's O' Nuts → Missouri,36,1364.8333333333333,267.22451769465835,16.878333333333334
Lot's O' Nuts → Montana,8,1319.25,234.00167887065626,19.65375
Lot's O' Nuts → Nebraska,23,1336.1304347826087,237.68108968796182,18.625652173913043
Lot's O' Nuts → Nevada,24,1243.25,239.22233609543338,24.283333333333335
Lot's O' Nuts → New Brunswick,4,1273.25,298.4296399488496,22.455000000000002
Lot's O' Nuts → New Hampshire,13,1272.4615384615386,210.88133131559064,22.503846153846155
Lot's O' Nuts → New Jersey,65,1335.6615384615384,278.66833315582556,18.654615384615383
Lot's O' Nuts → New Mexico,18,1456.9444444444443,258.26308342741896,11.268888888888888
Lot's O' Nuts → New York,645,1330.5162790697675,249.26357709886216,18.968124031007754
Lot's O' Nuts → Newfoundland and Labrador,6,1216.1666666666667,357.44729215181735,25.935000000000002
Lot's O' Nuts → North Carolina,143,1314.1958041958042,249.30645372632327,19.962377622377623
Lot's O' Nuts → North Dakota,5,1638.2,1.6431676725154905,0.22799999999999998
Lot's O' Nuts → Ohio,262,1334.1145038167938,260.4439516916097,18.749007633587784
Lot's O' Nuts → Oklahoma,41,1282.6829268292684,237.45077795454688,21.88219512195122
Lot's O' Nuts → Ontario,28,1246.2857142857142,261.42187518529664,24.09642857142857
Lot's O' Nuts → Oregon,77,1245.1948051948052,269.8786295902309,24.164415584415586
Lot's O' Nuts → Pennsylvania,331,1315.0634441087614,260.4839648858407,19.908851963746223
Lot's O' Nuts → Prince Edward Island,6,1395.8333333333333,298.67468367216304,14.99
Lot's O' Nuts → Quebec,24,1334.125,298.5522039413893,18.749166666666667
Lot's O' Nuts → Rhode Island,30,1296.9,301.97857311519607,21.015666666666668
Lot's O' Nuts → South Carolina,21,1290.2857142857142,244.66183659433747,21.41809523809524
Lot's O' Nuts → South Dakota,9,1477.2222222222222,322.71960653862425,10.033333333333335
Lot's O' Nuts → Tennessee,109,1390.9633027522937,257.7163214554842,15.28651376146789
Lot's O' Nuts → Texas,569,1310.4604569420035,260.3438522587886,20.189472759226714
Lot's O' Nuts → Utah,29,1236.0,298.2197176579711,24.724827586206896
Lot's O' Nuts → Vermont,5,1492.4,200.2855461584784,9.108
Lot's O' Nuts → Virginia,109,1229.48623853211,262.0086093679799,25.120642201834862
Lot's O' Nuts → Washington,269,1343.9628252788104,274.9753152303269,18.149405204460965
Lot's O' Nuts → West Virginia,2,1637.0,2.8284271247461903,0.305
Lot's O' Nuts → Wisconsin,58,1367.6379310344828,242.37941102097005,16.70758620689655
Lot's O' Nuts → Wyoming,1,1274.0,0.0,22.41
Secret Factory → Alabama,3,1272.3333333333333,366.50011368802245,22.51
Secret Factory → Alberta,2,1274.5,516.8950570473662,22.38
Secret Factory → Arizona,5,1127.4,327.5306092566006,31.338
Secret Factory → Arkansas,2,1456.5,259.50818869546293,11.295
Secret Factory → California,31,1308.2903225806451,288.2563897584216,20.321290322580648
Secret Factory → Colorado,7,1376.5714285714287,178.94306090938275,16.164285714285715
Secret Factory → Connecticut,1,1638.0,0.0,0.24
Secret Factory → Delaware,1,909.0,0.0,44.64
Secret Factory → Florida,7,1482.142857142857,196.2603955390462,9.732857142857142
Secret Factory → Georgia,7,1377.857142857143,347.5103972408252,16.084285714285716
Secret Factory → Illinois,13,1328.6923076923076,360.0334208133519,19.07923076923077
Secret Factory → Indiana,4,1456.25,209.86880822710808,11.31
Secret Factory → Kentucky,2,1637.5,0.7071067811865476,0.27
Secret Factory → Louisiana,2,908.5,0.7071067811865476,44.67
Secret Factory → Maryland,3,1517.6666666666667,211.02685453120256,7.57
Secret Factory → Massachusetts,2,1455.0,260.2152954766495,11.385
Secret Factory → Michigan,5,1346.2,306.52438728427467,18.014000000000003
Secret Factory → Minnesota,1,909.0,0.0,44.64
Secret Factory → Mississippi,1,908.0,0.0,44.7
Secret Factory → Nebraska,1,906.0,0.0,44.82
Secret Factory → Nevada,2,1091.0,261.6295090390226,33.555
Secret Factory → New Hampshire,1,1641.0,0.0,0.06
Secret Factory → New Jersey,2,1274.5,2.1213203435596424,22.38
Secret Factory → New Mexico,2,906.0,2.8284271247461903,44.825
Secret Factory → New York,24,1379.625,274.4296555942256,15.977083333333333
Secret Factory → North Carolina,4,1548.0,181.3560034848585,5.725
Secret Factory → Ohio,13,1301.2307692307693,314.9267517604038,20.75076923076923
Secret Factory → Oregon,2,1271.5,0.7071067811865476,22.560000000000002
Secret Factory → Pennsylvania,19,1311.3684210526317,295.9568682025429,20.13421052631579
Secret Factory → Quebec,2,1273.5,516.8950570473662,22.44
Secret Factory → Rhode Island,3,1394.3333333333333,210.16501453223214,15.08
Secret Factory → South Carolina,1,909.0,0.0,44.64
Secret Factory → Tennessee,3,1395.3333333333333,211.8875487925927,15.019999999999998
Secret Factory → Texas,16,1227.0625,323.9083139305525,25.268125
Secret Factory → Utah,1,1275.0,0.0,22.35
Secret Factory → Vermont,1,1273.0,0.0,22.47
Secret Factory → Virginia,5,1053.4,200.01949904946767,35.844
Secret Factory → Washington,11,1472.3636363636363,190.50263658399734,10.32909090909091
Secret Factory → Wisconsin,5,1346.4,163.5735308660909,18.0
Sugar Shack → Arizona,1,1274.0,0.0,22.41
Sugar Shack → California,1,1638.0,0.0,0.24
Sugar Shack → Connecticut,1,1641.0,0.0,0.06
Sugar Shack → Delaware,1,910.0,0.0,44.58
Sugar Shack → Florida,3,1031.0,211.31019852340302,37.21
Sugar Shack → Illinois,2,1089.0,257.3868683519033,33.675
Sugar Shack → Michigan,3,1395.0,212.1768130592973,15.04
Sugar Shack → New Jersey,1,1642.0,0.0,0.0
Sugar Shack → New York,9,1314.111111111111,285.4082358852159,19.96666666666667
Sugar Shack → Ohio,2,1637.5,3.5355339059327378,0.275
Sugar Shack → Pennsylvania,3,1396.3333333333333,211.02211574461418,14.96
Sugar Shack → Rhode Island,1,1273.0,0.0,22.47
Sugar Shack → Tennessee,1,1272.0,0.0,22.53
Sugar Shack → Texas,3,1395.3333333333333,212.7541617297611,15.020000000000001
Sugar Shack → Washington,1,1638.0,0.0,0.24
The Other Factory → Alabama,2,1457.0,257.3868683519033,11.265
The Other Factory → Arizona,2,1271.5,0.7071067811865476,22.560000000000002
The Other Factory → California,21,1325.0,265.12563059802415,19.304285714285715
The Other Factory → Colorado,2,1273.5,2.1213203435596424,22.44
The Other Factory → Connecticut,2,907.5,2.1213203435596424,44.730000000000004
The Other Factory → Delaware,2,1456.5,260.92240225783604,11.295
The Other Factory → Florida,3,1029.3333333333333,212.7541617297611,37.31
The Other Factory → Georgia,2,1456.0,258.8010819142764,11.325
The Other Factory → Indiana,1,1274.0,0.0,22.41
The Other Factory → Kentucky,2,1271.0,519.0163773909259,22.595000000000002
The Other Factory → Louisiana,1,907.0,0.0,44.76
The Other Factory → Maryland,1,1274.0,0.0,22.41
The Other Factory → Massachusetts,3,1150.6666666666667,211.02211574461415,29.919999999999998
The Other Factory → Missouri,1,1275.0,0.0,22.35
The Other Factory → Nevada,1,1638.0,0.0,0.24
The Other Factory → New Hampshire,2,1088.5,258.0939751330898,33.705
The Other Factory → New Jersey,3,1395.3333333333333,211.02211574461418,15.020000000000001
The Other Factory → New York,14,1351.9285714285713,326.8188075479026,17.664285714285715
The Other Factory → North Carolina,1,1635.0,0.0,0.43
The Other Factory → Ohio,3,1272.0,1.7320508075688772,22.53
The Other Factory → Oregon,2,1089.0,258.8010819142764,33.675
The Other Factory → Pennsylvania,7,1273.0,210.45981405801285,22.47142857142857
The Other Factory → Rhode Island,1,1273.0,0.0,22.47
The Other Factory → South Carolina,1,1273.0,0.0,22.47
The Other Factory → Tennessee,3,1395.6666666666667,211.61364165226522,15.0
The Other Factory → Texas,9,1191.5555555555557,304.5181074710957,27.43
The Other Factory → Virginia,4,1180.5,181.674617563012,28.105
The Other Factory → Washington,4,1275.0,298.0234890071586,22.35
Wicked Choccy's → Alabama,22,1272.7272727272727,252.84291788685942,22.48681818181818
Wicked Choccy's → Alberta,8,1274.375,338.3873256238436,22.3875
Wicked Choccy's → Arizona,105,1322.1142857142856,273.20323212574897,19.480666666666668
Wicked Choccy's → Arkansas,27,1273.5185185185185,303.38213658309036,22.44074074074074
Wicked Choccy's → British Columbia,4,1364.75,349.98321388318044,16.8825
Wicked Choccy's → California,823,1320.3268529769136,262.50029098941025,19.588784933171326
Wicked Choccy's → Colorado,70,1319.8428571428572,256.20217535841715,19.617857142857144
Wicked Choccy's → Connecticut,31,1272.8709677419354,267.3891972307388,22.47935483870968
Wicked Choccy's → Delaware,49,1273.7142857142858,210.8829651726281,22.427142857142858
Wicked Choccy's → District of Columbia,2,1275.0,0.0,22.35
Wicked Choccy's → Florida,161,1305.0931677018634,250.265778754363,20.516832298136645
Wicked Choccy's → Georgia,65,1346.1538461538462,251.88348191482982,18.015846153846155
Wicked Choccy's → Idaho,7,1325.0,328.43264149593904,19.302857142857142
Wicked Choccy's → Illinois,210,1329.1285714285714,266.256428622181,19.052904761904763
Wicked Choccy's → Indiana,54,1402.462962962963,257.76533960268836,14.586481481481481
Wicked Choccy's → Iowa,14,1403.7857142857142,272.0014645241762,14.507142857142856
Wicked Choccy's → Kansas,9,1314.0,337.8424188878597,19.974444444444444
Wicked Choccy's → Kentucky,58,1323.8103448275863,268.999344999956,19.37603448275862
Wicked Choccy's → Louisiana,15,1272.2666666666667,337.9273942868849,22.516666666666666
Wicked Choccy's → Maine,2,908.0,0.0,44.7
Wicked Choccy's → Manitoba,10,1455.6,192.9007804834162,11.349
Wicked Choccy's → Maryland,41,1326.7073170731708,264.93803463285894,19.200243902439027
Wicked Choccy's → Massachusetts,54,1334.4444444444443,253.27601966701243,18.72851851851852
Wicked Choccy's → Michigan,100,1291.85,239.8593600972508,21.3233
Wicked Choccy's → Minnesota,45,1330.6888888888889,310.75646868292665,18.958222222222222
Wicked Choccy's → Mississippi,22,1240.4545454545455,222.88962189788813,24.453181818181818
Wicked Choccy's → Missouri,29,1311.103448275862,298.1196242195866,20.15103448275862
Wicked Choccy's → Montana,7,1221.857142857143,389.89760560580885,25.587142857142858
Wicked Choccy's → Nebraska,14,1299.2857142857142,225.09773213204312,20.87
Wicked Choccy's → Nevada,12,1182.25,226.37303284622928,27.998333333333335
Wicked Choccy's → New Brunswick,4,1273.25,298.4296399488496,22.455000000000002
Wicked Choccy's → New Hampshire,11,1340.090909090909,275.30072813033195,18.384545454545453
Wicked Choccy's → New Jersey,59,1335.3898305084747,216.57458832603515,18.67084745762712
Wicked Choccy's → New Mexico,17,1488.8823529411766,226.43042042560805,9.32294117647059
Wicked Choccy's → New York,436,1311.883027522936,245.01327683661424,20.102981651376147
Wicked Choccy's → North Carolina,101,1352.7623762376238,261.44093591153035,17.613663366336635
Wicked Choccy's → North Dakota,2,1637.0,0.0,0.3
Wicked Choccy's → Nova Scotia,6,1272.6666666666667,326.91446383827474,22.49
Wicked Choccy's → Ohio,189,1313.3544973544974,267.57040481995995,20.013333333333332
Wicked Choccy's → Oklahoma,25,1332.0,250.49417824239603,18.8784
Wicked Choccy's → Ontario,30,1248.5666666666666,286.48700799011186,23.958000000000002
Wicked Choccy's → Oregon,43,1316.1627906976744,242.4143373718956,19.842093023255813
Wicked Choccy's → Pennsylvania,227,1339.2202643171806,263.6735460367152,18.437665198237887
Wicked Choccy's → Prince Edward Island,4,1457.0,211.31019852340302,11.265
Wicked Choccy's → Quebec,24,1243.5833333333333,322.0927380181956,24.262500000000003
Wicked Choccy's → Rhode Island,21,1359.6666666666667,280.1016482160242,17.191904761904762
Wicked Choccy's → Saskatchewan,2,1457.0,258.8010819142764,11.265
Wicked Choccy's → South Carolina,19,1234.2105263157894,240.89914416788338,24.833684210526314
Wicked Choccy's → South Dakota,3,1152.0,422.62039704680603,29.840000000000003
Wicked Choccy's → Tennessee,67,1393.7611940298507,241.35828325442333,15.116119402985074
Wicked Choccy's → Texas,388,1315.6082474226805,272.9403984763616,19.876134020618558
Wicked Choccy's → Utah,23,1273.4782608695652,290.60233208806125,22.442173913043476
Wicked Choccy's → Vermont,5,1418.6,200.2855461584785,13.601999999999999
Wicked Choccy's → Virginia,106,1238.877358490566,254.77402509563655,24.54877358490566
Wicked Choccy's → Washington,221,1375.7239819004526,270.80298241690485,16.215113122171946
Wicked Choccy's → West Virginia,2,1639.0,0.0,0.18
Wicked Choccy's → Wisconsin,47,1312.2340425531916,205.32532116512877,20.081276595744683
